year,salary
2003,41304.950
2004,42967.522
2005,44939.207
2006,41317.918
2007,44449.492
2008,48411.221
2009,44811.747
2010,44657.898
2011,46448.524
2012,47969.245
2013,49086.257
2014,49077.039
2015,51734.739
2016,56536.234
2017,60364.014
2018,65581.981
2019,69938.333
2020,73111.317
2021,83337.742
2022,91732.877
2023,98685.787
