year,name
2003,86
2004,378
2005,817
2006,2183
2007,4254
2008,5991
2009,3413
2010,5745
2011,8002
2012,10016
2013,12192
2014,12854
2015,10431
2016,12939
2017,17373
2018,22986
2019,24163
2020,24145
2021,34662
2022,36793
2023,36166
