area_name,salary
Новоивановское,60000.000
Сосновый Бор (Ленинградская область),59833.333
Павловская Слобода,59750.000
Солнечногорск,59250.342
Железнодорожный,59209.838
Жаворонки,59166.667
Пушкино (Московская область),59030.903
Старая Купавна,58704.167
Электросталь,58522.600
Красное-на-Волге,58333.333
Холмск,58333.333
Фёдоровское (Ленинградская область),58333.333
Невельск,58333.333
Чалтырь,58333.333
Красная Поляна,58222.222
Щербинка,58203.922
Иннополис,58183.673
Арсеньев,58000.000
Крекшино,57708.333
Фергана,57701.625
Сальск,57633.333
Шексна,57625.000
Уренгой,57500.000
Озерск (Калининградская область),57500.000
Шира,57500.000
Наро-Фоминск,57480.856
Голицыно,57403.545
Маслова Пристань,57350.000
Тельмана,57250.000
Павловский Посад,57246.618
Чехов,57185.528
Снегири,57142.857
Херсон,56893.812
Троицк (Московская область),56793.160
Выборг,56710.484
Березник,56500.000
Климовск (Московская область),56084.375
Тайцы,55833.333
Ульяновка (Ленинградская область),55833.333
Пушкин,55701.852
Краснознаменск (Московская область),55681.633
Фряново,55666.667
Усть-Илимск,55625.000
Заринск,55625.000
Ногинск,55401.691
Тучково,55372.714
Клин,55269.737
Тихвин,55200.000
Селятино,55108.696
Воскресенск,55080.556
Левашово,55000.000
Вырица,55000.000
Анастасиевская,55000.000
Скадовск,55000.000
Лесозаводск,55000.000
Иловля,55000.000
Балаклава,55000.000
посёлок имени Морозова,55000.000
Монино,54983.333
Быково (Московская область),54930.769
Санкт-Петербург,54872.692
Сергиев Посад,54804.023
Сланцы,54375.000
Коломна,54289.818
Тамань,54220.000
Кандалакша,54125.000
Сегежа,54000.000
Развилка (Московская область),54000.000
Кулой,54000.000
Звёздный Городок,54000.000
Свердловский,54000.000
Приозерск,53875.000
Отрадное (Ленинградская область),53750.000
Рогачево,53750.000
Находка,53517.316
Сиверский,53333.333
Бронницы,53322.500
Котельники,53235.704
Апрелевка,52923.529
Ейск,52853.333
Донецк,52846.154
Яхрома,52808.333
Красноармейск (Московская область),52808.333
Серпухов,52747.778
Шушары,52720.000
Хабаровск,52716.413
Амурск,52700.000
Ступино,52693.373
Балахта (Красноярский край),52666.667
Можайск,52650.000
Луга,52500.000
Волжский (Астраханская область),52500.000
Курьи,52500.000
Никольское,52500.000
Губкинский,52362.500
Ленинск-Кузнецкий,52243.902
Буланаш,52142.857
Кондопога,52133.333
Дедовск,52116.000
Ворсино (Калужская область),52100.000
Месягутово,52000.000
Боровичи,51940.000
Кривское (Калужская область),51750.000
Когалым,51746.056
Краматорск,51654.441
Вельск,51560.000
Кондрово,51483.333
Руза,51407.143
Ханты-Мансийск,51338.994
Любань (Ленинградская область),51300.000
Балтийск,51285.714
Кольцово (Новосибирская область),51250.000
Полысаево,51204.000
Североморск,51115.385
Людиново,51112.500
Вязьма,51046.429
Шишкин Лес,51000.000
Уссурийск,50953.312
Родники (Московская область),50625.000
Ильский,50583.333
Ясногорск,50580.000
Байкит,50500.000
Усть-Кут,50437.500
Новофёдоровка,50000.000
Новоселье (Ленинградская область),50000.000
Симоненко,50000.000
Новая Чара,50000.000
Коктебель,50000.000
Морское (Республика Крым),50000.000
Никель (Мурманская область),50000.000
Мордово,50000.000
Волот (Новгородская область),50000.000
Вольное (Астраханская область),50000.000
Власиха,50000.000
Жаворонки (Крым),50000.000
Жилетово,50000.000
Зуя,50000.000
Абаза,50000.000
Авдон,50000.000
Усть-Омчуг,50000.000
Ферсманово,50000.000
Старый Крым,50000.000
Иволгинск,50000.000
Аскиз,50000.000
Форос,50000.000
Фокино (Приморский край),50000.000
Советский (Республика Крым),50000.000
Озерки (Всеволожский район),50000.000
Саратовская,50000.000
Лиинахамари,50000.000
Кировское (Республика Крым),50000.000
Партенит,50000.000
Панкрушиха,50000.000
Первомайское (Республика Крым),50000.000
Переделкино,50000.000
Печенга,50000.000
Красноярка,50000.000
Кубанское,50000.000
Каменское (Республика Крым),50000.000
Кореиз,50000.000
Кавалерово,50000.000
Кабардинка,50000.000
Хандыга,50000.000
Хабары,50000.000
Хороль,50000.000
Черниговка (Приморский край),50000.000
Инкерман,50000.000
Чугуевка,50000.000
Шимск,50000.000
Киренск,50000.000
Мирное (Республика Крым),50000.000
"Алексеевка (Уфимский район, Башкортостан)",50000.000
Пикалево,50000.000
"Покровка (Октябрьский район, Приморский край)",50000.000
Полотняный Завод,50000.000
Прибрежный,50000.000
Приморский (Республика Крым),50000.000
Радченко,50000.000
Партизанск,50000.000
Раздольное,50000.000
Раменки (Московская область),50000.000
Озерки (Алтайский край),50000.000
