year,salary
2003,27515.123
2004,29934.718
2005,29646.111
2006,29115.667
2007,34689.176
2008,37192.414
2009,34099.668
2010,34379.906
2011,36157.142
2012,37023.897
2013,38417.627
2014,37123.578
2015,44484.954
2016,41015.268
2017,43561.863
2018,45954.981
2019,49565.083
2020,52822.968
2021,57697.185
2022,63227.116
2023,69303.948
